Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,RainToday,RainTomorrow,RainfallTomorrow,WindDir,WindSpeed,Humidity,Pressure,Cloud,Año,Mes,Dia
2008-02-01,Sydney,20.1,21.65,15.6,6.2,0.0,Yes,Yes,6.0,S,18.5,88.0,1017.5,8.0,2008,2,1
2008-02-02,Sydney,20.95,25.200000000000003,6.0,3.4,2.7,Yes,Yes,6.6,E,11.0,78.0,1017.15,7.0,2008,2,2
2008-02-03,Sydney,22.55,23.75,6.6,2.4,0.1,Yes,Yes,18.8,ESE,9.5,87.0,1016.1500000000001,7.5,2008,2,3
2008-02-04,Sydney,20.799999999999997,21.85,18.8,2.2,0.0,Yes,Yes,77.4,E,21.0,86.5,1013.0,8.0,2008,2,4
2008-02-05,Sydney,21.1,25.6,77.4,,0.0,Yes,Yes,1.6,NNE,8.5,81.0,1006.55,8.0,2008,2,5
2008-02-06,Sydney,22.0,26.6,1.6,2.6,8.6,Yes,Yes,6.2,ENE,15.5,65.5,1000.6500000000001,6.0,2008,2,6
2008-02-07,Sydney,20.15,24.3,6.2,5.2,5.2,Yes,Yes,27.6,S,15.0,77.5,999.65,5.5,2008,2,7
2008-02-08,Sydney,18.049999999999997,21.700000000000003,27.6,5.8,2.1,Yes,Yes,12.6,S,11.0,69.0,1007.8499999999999,7.5,2008,2,8
2008-02-09,Sydney,16.75,18.65,12.6,4.8,3.0,Yes,Yes,8.8,SSW,14.0,91.5,1007.0,7.0,2008,2,9
2008-02-10,Sydney,15.899999999999999,23.75,8.8,4.4,10.1,Yes,No,0.0,SSE,15.5,66.5,1013.7,3.0,2008,2,10
2008-02-11,Sydney,17.65,23.799999999999997,0.0,6.4,8.0,No,No,0.0,E,17.5,65.5,1016.45,7.5,2008,2,11
2008-02-12,Sydney,20.9,26.0,0.0,6.8,6.7,No,Yes,14.4,N,15.5,67.5,1009.1,7.0,2008,2,12
2008-02-13,Sydney,19.65,21.9,14.4,7.0,3.3,Yes,Yes,3.0,S,27.0,78.5,1010.45,7.5,2008,2,13
2008-02-14,Sydney,17.65,23.8,3.0,3.2,8.7,Yes,No,0.0,SSE,17.0,66.0,1016.85,4.0,2008,2,14
2008-02-15,Sydney,18.9,24.1,0.0,6.2,8.5,No,No,0.0,SSE,20.5,68.0,1019.55,5.0,2008,2,15
2008-02-16,Sydney,18.25,23.700000000000003,0.0,6.2,8.8,No,No,0.0,SSE,18.5,64.5,1022.8,6.5,2008,2,16
2008-02-17,Sydney,20.65,24.1,0.0,7.6,3.2,No,No,0.0,ESE,18.5,62.5,1023.9000000000001,7.0,2008,2,17
2008-02-18,Sydney,19.9,24.55,0.0,4.2,4.5,No,No,0.0,ENE,18.5,64.5,1020.55,6.5,2008,2,18
2008-02-19,Sydney,19.9,24.1,0.0,5.2,7.5,No,No,0.0,E,12.0,72.0,1016.7,7.0,2008,2,19
2008-02-20,Sydney,19.8,25.799999999999997,0.0,4.6,11.1,No,No,0.0,E,17.5,70.0,1012.0999999999999,2.0,2008,2,20
2008-02-21,Sydney,21.35,25.85,0.0,6.8,6.4,No,No,0.4,SE,9.5,74.0,1010.55,7.0,2008,2,21
2008-02-22,Sydney,20.700000000000003,25.15,0.4,4.4,9.4,No,No,0.0,E,19.5,71.5,1006.1500000000001,2.5,2008,2,22
2008-02-23,Sydney,21.5,25.0,0.0,6.6,12.2,No,No,0.0,ESE,22.0,41.5,1007.2,1.0,2008,2,23
2008-02-24,Sydney,18.85,27.200000000000003,0.0,8.6,12.0,No,No,0.0,ESE,17.5,44.0,1007.95,0.0,2008,2,24
2008-02-25,Sydney,21.05,23.85,0.0,8.6,1.5,No,No,0.0,E,17.5,56.0,1017.2,7.0,2008,2,25
2008-02-26,Sydney,21.15,26.0,0.0,3.6,8.4,No,Yes,22.2,E,15.0,69.0,1016.95,3.5,2008,2,26
2008-02-27,Sydney,20.15,26.85,22.2,8.2,3.3,Yes,Yes,4.2,NNE,7.5,67.0,1012.35,7.0,2008,2,27
2008-02-28,Sydney,19.15,20.299999999999997,4.2,4.2,0.0,Yes,Yes,33.0,ESE,14.5,82.5,1010.05,8.0,2008,2,28
2008-02-29,Sydney,15.9,20.25,33.0,7.0,8.9,Yes,No,0.2,S,26.0,58.0,1015.45,4.0,2008,2,29
2008-03-01,Sydney,14.350000000000001,21.6,0.2,6.2,11.3,No,Yes,5.4,SSE,25.0,50.5,1020.75,0.5,2008,3,1
2008-03-02,Sydney,14.649999999999999,22.9,5.4,6.4,7.3,Yes,No,0.2,SE,15.0,73.5,1025.7,4.5,2008,3,2
2008-03-03,Sydney,16.6,22.8,0.2,2.6,11.2,No,No,0.0,ENE,17.0,67.5,1024.15,1.0,2008,3,3
2008-03-04,Sydney,17.1,24.6,0.0,6.8,11.3,No,No,0.0,E,14.0,67.0,1019.55,1.0,2008,3,4
2008-03-05,Sydney,20.65,24.950000000000003,0.0,6.0,8.7,No,No,0.0,ESE,20.5,68.0,1024.5,4.5,2008,3,5
2008-03-06,Sydney,20.85,25.35,0.0,5.0,10.4,No,No,0.0,ENE,15.0,66.0,1022.0,1.0,2008,3,6
2008-03-07,Sydney,21.4,24.1,0.0,7.6,4.5,No,Yes,17.4,SSE,18.5,79.0,1021.0,6.0,2008,3,7
2008-03-08,Sydney,17.65,23.15,17.4,6.0,9.6,Yes,No,0.0,E,15.5,79.5,1022.8499999999999,1.5,2008,3,8
2008-03-09,Sydney,18.049999999999997,24.05,0.0,4.6,10.2,No,No,0.0,E,14.0,73.0,1025.35,1.5,2008,3,9
2008-03-10,Sydney,21.1,25.9,0.0,4.6,10.8,No,No,0.0,NE,16.5,63.0,1023.8,0.5,2008,3,10
2008-03-11,Sydney,20.25,26.05,0.0,7.6,11.3,No,No,0.0,E,11.0,65.0,1021.7,0.0,2008,3,11
2008-03-12,Sydney,20.75,25.7,0.0,7.0,11.1,No,No,0.0,NE,14.5,68.5,1020.3499999999999,1.0,2008,3,12
2008-03-13,Sydney,20.799999999999997,25.700000000000003,0.0,6.0,10.6,No,No,0.0,ESE,13.0,76.5,1019.35,2.5,2008,3,13
2008-03-14,Sydney,20.3,25.85,0.0,5.4,11.0,No,No,0.0,ENE,16.5,73.0,1021.4,2.0,2008,3,14
2008-03-15,Sydney,20.9,25.85,0.0,7.0,11.3,No,No,0.0,ENE,11.0,72.0,1021.5,1.0,2008,3,15
2008-03-16,Sydney,21.25,25.25,0.0,5.6,10.1,No,No,0.0,E,15.5,75.0,1023.5999999999999,2.0,2008,3,16
2008-03-17,Sydney,20.75,25.549999999999997,0.0,6.4,10.0,No,No,0.0,WNW,4.0,71.0,1023.8,2.5,2008,3,17
2008-03-18,Sydney,20.6,26.15,0.0,8.0,9.7,No,No,0.0,ENE,15.5,65.5,1021.65,1.0,2008,3,18
2008-03-19,Sydney,21.9,25.9,0.0,6.6,6.3,No,No,0.0,E,10.0,65.0,1020.3,6.0,2008,3,19
2008-03-20,Sydney,21.6,27.85,0.0,6.0,10.4,No,No,1.0,NE,11.5,64.0,1011.95,2.0,2008,3,20
2008-03-21,Sydney,17.75,19.0,1.0,7.0,0.0,No,Yes,2.2,S,24.0,83.5,1018.0999999999999,8.0,2008,3,21
2008-03-22,Sydney,18.25,22.45,2.2,2.2,0.6,Yes,No,0.4,E,27.0,70.5,1022.5,7.0,2008,3,22
2008-03-23,Sydney,17.4,24.8,0.4,4.0,6.1,No,Yes,17.0,ESE,11.0,69.5,1021.85,5.5,2008,3,23
2008-03-24,Sydney,19.2,23.8,17.0,2.6,8.0,Yes,No,0.4,ENE,16.5,83.5,1017.0,4.0,2008,3,24
2008-03-25,Sydney,20.6,27.25,0.4,6.4,2.5,No,Yes,19.0,NE,10.5,69.5,1009.0,6.0,2008,3,25
2008-03-26,Sydney,18.75,27.15,19.0,2.4,10.5,Yes,No,0.0,NW,3.0,57.0,1008.4,3.0,2008,3,26
2008-03-27,Sydney,16.25,22.700000000000003,0.0,5.8,11.0,No,No,0.0,ESE,19.5,47.0,1014.05,1.0,2008,3,27
2008-03-28,Sydney,16.75,21.45,0.0,2.6,8.3,No,No,0.2,SE,15.0,61.0,1016.6500000000001,3.5,2008,3,28
2008-03-29,Sydney,15.55,22.299999999999997,0.2,4.8,9.3,No,No,0.0,E,15.0,75.0,1013.3,2.5,2008,3,29
2008-03-30,Sydney,15.0,26.35,0.0,4.6,10.9,No,No,0.0,W,18.5,41.5,1011.0,0.5,2008,3,30
2008-03-31,Sydney,14.9,25.25,0.0,5.8,10.4,No,No,0.0,WNW,13.0,44.0,1013.75,2.5,2008,3,31
2008-04-01,Sydney,15.2,23.6,0.0,6.6,11.0,No,No,0.0,ESE,17.5,54.5,1022.25,1.0,2008,4,1
2008-04-02,Sydney,15.95,28.35,0.0,3.8,10.5,No,No,0.0,N,14.0,54.5,1015.7,4.0,2008,4,2
2008-04-03,Sydney,16.5,21.7,0.0,10.6,9.7,No,No,0.0,SW,23.0,31.5,1010.3499999999999,3.5,2008,4,3
2008-04-04,Sydney,12.55,21.6,0.0,7.6,10.6,No,No,0.0,E,19.5,42.0,1020.0,0.5,2008,4,4
2008-04-05,Sydney,13.399999999999999,21.85,0.0,4.2,10.7,No,No,0.0,E,15.0,60.5,1023.95,0.5,2008,4,5
2008-04-06,Sydney,15.399999999999999,22.4,0.0,3.6,6.4,No,Yes,12.0,ESE,16.5,63.0,1025.9,5.5,2008,4,6
2008-04-07,Sydney,16.75,20.9,12.0,3.2,4.7,Yes,Yes,9.6,SSE,13.0,76.5,1025.25,5.5,2008,4,7
2008-04-08,Sydney,15.8,20.5,9.6,5.4,5.1,Yes,Yes,22.8,SE,18.5,80.5,1025.3,6.0,2008,4,8
2008-04-09,Sydney,15.95,21.65,22.8,5.4,5.8,Yes,Yes,2.2,E,16.5,79.0,1023.0,6.0,2008,4,9
2008-04-10,Sydney,16.25,22.299999999999997,2.2,3.6,10.6,Yes,No,0.0,E,15.0,68.5,1020.9000000000001,3.0,2008,4,10
2008-04-11,Sydney,15.600000000000001,22.8,0.0,3.2,8.9,No,No,0.0,E,15.0,72.0,1018.8,3.0,2008,4,11
2008-04-12,Sydney,15.8,23.0,0.0,4.0,7.8,No,No,0.0,E,10.0,69.0,1017.3,5.5,2008,4,12
2008-04-13,Sydney,16.25,21.2,0.0,1.8,6.6,No,Yes,11.0,ESE,7.5,78.0,1014.9,5.5,2008,4,13
2008-04-14,Sydney,14.55,18.85,11.0,3.2,5.2,Yes,Yes,2.8,S,24.5,73.0,1019.4000000000001,5.0,2008,4,14
2008-04-15,Sydney,14.850000000000001,19.35,2.8,2.8,1.7,Yes,Yes,1.4,S,21.0,78.0,1024.65,7.0,2008,4,15
2008-04-16,Sydney,15.5,18.549999999999997,1.4,4.6,2.2,Yes,Yes,4.6,SSW,17.5,81.5,1025.5,7.5,2008,4,16
2008-04-17,Sydney,15.649999999999999,19.549999999999997,4.6,1.4,0.8,Yes,Yes,6.4,S,15.0,81.5,1024.25,7.0,2008,4,17
2008-04-18,Sydney,15.85,19.8,6.4,3.2,0.3,Yes,Yes,5.0,SSE,9.5,84.5,1024.5500000000002,7.5,2008,4,18
2008-04-19,Sydney,17.6,20.45,5.0,4.8,5.0,Yes,Yes,2.8,SE,23.0,56.0,1026.65,6.5,2008,4,19
2008-04-20,Sydney,16.25,18.75,2.8,4.0,1.3,Yes,Yes,21.8,ESE,10.5,77.0,1025.15,6.5,2008,4,20
2008-04-21,Sydney,15.65,19.15,21.8,7.5,4.6,Yes,Yes,10.2,S,14.0,80.5,1022.3,7.5,2008,4,21
2008-04-22,Sydney,15.25,20.200000000000003,10.2,3.6,2.0,Yes,Yes,12.6,SE,14.5,72.5,1022.95,6.0,2008,4,22
2008-04-23,Sydney,15.45,17.549999999999997,12.6,4.0,0.7,Yes,Yes,15.6,SSE,14.0,89.5,1023.05,7.0,2008,4,23
2008-04-24,Sydney,15.75,19.65,15.6,1.6,2.5,Yes,Yes,5.4,S,19.5,86.5,1019.95,7.0,2008,4,24
2008-04-25,Sydney,18.25,20.75,5.4,2.6,2.6,Yes,No,0.4,S,16.0,62.0,1013.9,7.0,2008,4,25
2008-04-26,Sydney,14.149999999999999,24.700000000000003,0.4,2.6,10.2,No,No,0.0,E,10.5,59.5,1009.1,4.5,2008,4,26
2008-04-27,Sydney,17.95,25.9,0.0,5.2,7.6,No,No,0.0,N,21.0,39.5,1002.1500000000001,4.0,2008,4,27
2008-04-28,Sydney,12.8,16.2,0.0,7.6,8.5,No,No,0.0,W,22.0,39.5,1008.0,4.0,2008,4,28
2008-04-29,Sydney,10.149999999999999,18.1,0.0,3.8,10.5,No,No,0.0,SSE,16.5,47.5,1020.0999999999999,1.0,2008,4,29
2008-04-30,Sydney,10.0,18.85,0.0,3.6,9.8,No,No,0.0,E,16.0,59.0,1022.75,2.0,2008,4,30
2008-05-01,Sydney,12.5,18.15,0.0,4.0,2.7,No,No,0.0,W,9.0,65.0,1018.2,7.0,2008,5,1
2008-05-02,Sydney,12.65,21.95,0.0,2.4,9.1,No,No,0.0,W,18.0,54.5,1017.0,2.0,2008,5,2
2008-05-03,Sydney,12.5,19.1,0.0,3.4,10.5,No,No,0.0,SSE,15.0,57.0,1018.0999999999999,1.0,2008,5,3
2008-05-04,Sydney,10.9,19.85,0.0,3.6,10.3,No,No,0.0,SE,16.5,55.5,1019.7,1.0,2008,5,4
